h3_08,municipio,operator,variable,median
88498648a3fffff,Cuajimalpa de Morelos,ALTAN Redes,m_download_mbps,5.584
88498648a3fffff,Cuajimalpa de Morelos,AT&T,m_download_mbps,129.75799999999998
88498648a3fffff,Cuajimalpa de Morelos,Movistar,m_download_mbps,3.517
88498648a3fffff,Cuajimalpa de Morelos,Telcel,m_download_mbps,57.9755
88498648b5fffff,Cuajimalpa de Morelos,ALTAN Redes,m_download_mbps,39.1875
88498648b5fffff,Cuajimalpa de Morelos,AT&T,m_download_mbps,45.763
88498648b5fffff,Cuajimalpa de Morelos,Movistar,m_download_mbps,0.473
88498648bdfffff,Cuajimalpa de Morelos,ALTAN Redes,m_download_mbps,25.784
88498648bdfffff,Cuajimalpa de Morelos,AT&T,m_download_mbps,31.4125
88498648bdfffff,Cuajimalpa de Morelos,Movistar,m_download_mbps,71.212
88498648bdfffff,Cuajimalpa de Morelos,Telcel,m_download_mbps,130.042
8849864905fffff,Tlalpan,AT&T,m_download_mbps,1.819
8849864921fffff,Tlalpan,ALTAN Redes,m_download_mbps,8.445
8849864921fffff,Tlalpan,AT&T,m_download_mbps,2.513
8849864921fffff,Tlalpan,Telcel,m_download_mbps,23.6055
8849864923fffff,Tlalpan,ALTAN Redes,m_download_mbps,19.497
8849864923fffff,Tlalpan,AT&T,m_download_mbps,21.3375
8849864923fffff,Tlalpan,Movistar,m_download_mbps,68.779
8849864923fffff,Tlalpan,Telcel,m_download_mbps,39.654
8849864925fffff,Tlalpan,ALTAN Redes,m_download_mbps,4.6754999999999995
8849864927fffff,Tlalpan,ALTAN Redes,m_download_mbps,8.006
8849864927fffff,Tlalpan,AT&T,m_download_mbps,6.55
8849864927fffff,Tlalpan,Telcel,m_download_mbps,26.211
8849864929fffff,Tlalpan,ALTAN Redes,m_download_mbps,29.247999999999998
884986492bfffff,Tlalpan,ALTAN Redes,m_download_mbps,0.062
884986492dfffff,Tlalpan,ALTAN Redes,m_download_mbps,0.839
8849864935fffff,La Magdalena Contreras,ALTAN Redes,m_download_mbps,6.061999999999999
8849864935fffff,La Magdalena Contreras,Movistar,m_download_mbps,7.716
8849864935fffff,La Magdalena Contreras,Telcel,m_download_mbps,28.302
8849864935fffff,Tlalpan,ALTAN Redes,m_download_mbps,15.178
8849864935fffff,Tlalpan,Telcel,m_download_mbps,59.556
884986493dfffff,La Magdalena Contreras,ALTAN Redes,m_download_mbps,8.903
884986493dfffff,Tlalpan,ALTAN Redes,m_download_mbps,51.28
8849864947fffff,Tlalpan,Telcel,m_download_mbps,0.061
8849864965fffff,Tlalpan,ALTAN Redes,m_download_mbps,1.349
884986496dfffff,Tlalpan,ALTAN Redes,m_download_mbps,5.3495
88498649a5fffff,La Magdalena Contreras,ALTAN Redes,m_download_mbps,3.032
88498649a5fffff,La Magdalena Contreras,Telcel,m_download_mbps,13.342
88498649a7fffff,La Magdalena Contreras,ALTAN Redes,m_download_mbps,4.5975
88498649a7fffff,La Magdalena Contreras,AT&T,m_download_mbps,1.353
88498649a7fffff,La Magdalena Contreras,Telcel,m_download_mbps,58.474999999999994
88498649a7fffff,Álvaro Obregón,Telcel,m_download_mbps,2.983
